"time","US.GA.524.sa","US.MA.506.sa","US.NC.517.sa","US.IL.602.sa","US.OH.510.sa","US.TX.623.sa","US.CO.751.sa","US.MI.505.sa","US.NV.839.sa","US.CA.803.sa","US.FL.528.sa","US.MN.613.sa","US.NY.501.sa","US.AZ.753.sa","US.OR.820.sa","US.CA.825.sa","US.CA.807.sa","US.WA.819.sa","US.FL.539.sa","US.MD.511.sa"
2004-01-01,30.3687753764191,26.6753469234627,50.3336013784848,24.3392005123197,40.0347695224328,51.1713900605899,50.6885881008037,21.1357242544404,21.2456422702934,32.2539217987733,33.1098215414415,26.8644967067755,32.3000229949892,21.2123185185797,29.6222603593724,22.3824183732269,44.7313980298814,39.1109888543621,35.1273483805054,37.6927425942356
2004-02-01,28.9264243931933,22.1779715851097,58.5784129617226,29.9362155433408,31.2174313568322,44.400664931385,47.0773281094343,24.801106378209,24.1253013474277,30.649264078074,30.0734300452071,26.4726881736478,34.3933133169243,27.293514779528,31.6128376486113,26.3507399375097,36.7539032246086,38.4913639978877,51.7820114314379,36.6375211753588
2004-03-01,30.4828309285354,28.972887785936,39.5911875016437,30.1684058095146,27.8821561625727,31.8609714730141,31.6773546252575,17.1967862664487,23.1522334726188,31.971968403042,34.9722972232397,25.176581550133,33.2540770930103,24.8903893329725,20.109473830818,29.7848960481511,42.7063265723584,21.0596281846307,25.1725357015982,41.7599087174823
2004-04-01,41.1497467198199,26.6791761698148,58.5373052302156,29.215378455123,19.8162395394529,40.9516582615882,46.4739876051067,22.9154105392173,23.4932467549424,29.9744254787513,35.3773607330584,17.9855895876042,37.483509267509,23.8375185056834,27.8655571123218,23.7782693122547,41.2380125206312,24.4587260288938,70.6320875999259,53.5052274513206
2004-05-01,41.4531321731703,23.1121004936113,26.6701015428417,38.0583076558483,22.105249392857,41.5233206114839,31.5923039284999,27.4229609178929,22.0941313067322,28.977601888159,31.7483495988833,24.1848834957783,32.9885961043736,25.7566389589753,26.3447210752665,31.0687589252868,48.9922657173392,38.5134347060059,27.6651561054156,43.2136801448224
2004-06-01,47.4817725053384,23.7214733101885,41.0052499804811,33.2480412930968,19.485959098135,43.4178707963338,44.8080103421991,33.698771627144,24.1907168812799,30.3956194939236,18.9735663488801,28.8103577321155,33.3292761512811,26.5805964395043,30.8081604227378,28.107016488497,51.5396737442494,47.8626071274835,35.6574346681144,53.8290543133444
2004-07-01,42.2112574348784,25.157362274918,41.0435987981653,31.9362438986701,32.9571166445741,41.7446015436671,42.4704329517013,26.8219440834897,23.614436163866,29.3296061086571,31.9807631379479,29.1212656663196,38.372178188422,28.8618965305837,27.4382490208326,25.3125025988202,51.3377862345649,46.0349975096729,50.8707528165563,41.7402583707368
2004-08-01,35.5693528998856,22.9547780052211,22.2904266318446,29.5469315002883,23.8516509953042,35.8175950816207,44.2246729712181,25.2029723517683,21.8543968594256,30.6162192456775,33.4314318386997,26.2468969476916,37.9495941761733,29.3125086699457,34.8652511833261,31.2540819006042,48.1116481317215,41.2928836691859,30.1872604557525,41.63224894714
2004-09-01,41.330614169914,19.6668449907344,57.9481449959204,36.2549855534187,31.7235680761538,53.5995490874449,33.6488607816696,21.5435865806265,23.7432353932936,29.5644785816443,26.0022942819688,12.9731182499395,36.056014344365,23.3934013739089,38.0577486527763,25.1462378509138,28.9851893982321,38.960642636907,33.5280362816889,36.7085221952499
2004-10-01,33.0242829737428,22.8418893952203,48.9474747717143,26.0532678979019,27.6366365744893,43.3945285949874,41.5898899915361,27.6419807104494,21.0787784383983,30.7784559988635,29.2603139085288,23.1867010786558,34.1062780113508,32.6529121420135,28.0329882075776,16.7617836569818,45.3450823233079,43.4917046080243,27.085561536112,47.0534017459422
2004-11-01,36.026083633337,21.6271580568633,48.9963639770292,24.2751452702207,28.4173727897317,38.5108027806974,40.4161915473195,23.0483912863659,24.2934121356182,30.1367594446031,24.4803716729178,19.992821629087,39.2505291822892,24.5246309916095,10.8843280434227,18.1700684591281,30.3496870538996,42.9760699082106,25.7115777131851,43.5856371084601
2004-12-01,40.689964128055,23.1371535228349,37.7981749086867,25.1416607607791,36.9053324857595,44.7766530640719,43.0320691364664,34.9959852613054,20.894664648563,29.1542370358773,36.3354861607855,21.6865444863648,33.4050502812923,24.5660433956397,27.2533571166256,13.2857296344788,47.6282062167847,56.0355875390919,27.0196726720297,41.9845472431481
2005-01-01,34.8149542113812,19.4437595490862,44.6676978534498,30.8918671893683,34.3556170625408,43.8061749894836,47.0027703934624,25.106764565919,22.7125409781652,29.2341990704333,34.1024785356025,11.157906684003,33.2462998393437,32.8024438561858,44.4339101627487,24.6148981896826,44.7663188978388,40.0103790767145,42.4171921527874,36.6703668908828
2005-02-01,41.5852350001983,23.7070710388679,53.8088491845667,29.9363921473532,30.6745101657403,38.0406658029772,50.5650548339461,24.8576379989344,21.6728635810961,29.0081679922185,37.8039647766539,18.3017554665984,35.6106177528254,22.5250218467018,33.472735318448,36.4403718788988,41.3542390650758,42.8355318665664,32.3566060196487,36.5096915735214
2005-03-01,30.4638039931524,21.0337168303942,57.2071776160562,37.2671513092072,37.8570879351744,49.3409798244146,49.777752498712,24.5955861462166,21.9998374597276,29.3930010611487,26.5157184679588,24.3841407319613,33.0893744370139,25.8867756343111,31.0774382134526,13.6979719303513,42.5358687134422,41.1909516211006,36.1873250765308,40.0096305631587
