"time","US.sa"
2004-01-01,32.4569029032618
2004-02-01,31.6488294340623
2004-03-01,30.7799582306159
2004-04-01,31.7506669564267
2004-05-01,30.2877464347217
2004-06-01,34.5937924837976
2004-07-01,33.6045008487356
2004-08-01,33.5054258400186
2004-09-01,32.9732861097084
2004-10-01,34.6744345486074
2004-11-01,32.3974776992685
2004-12-01,34.7845880707471
2005-01-01,33.3769489045674
2005-02-01,32.5380383837128
2005-03-01,32.5504168388493
2005-04-01,32.6656953596027
2005-05-01,34.2165504606469
2005-06-01,33.7706489529127
2005-07-01,32.7474695379624
2005-08-01,31.6844137086435
2005-09-01,28.6938306890659
2005-10-01,29.1441422955677
2005-11-01,28.7616275375113
2005-12-01,27.3739683977724
2006-01-01,29.8082164493987
2006-02-01,27.8189549387173
2006-03-01,29.6564392349611
2006-04-01,28.7759750603256
2006-05-01,33.2028908489297
2006-06-01,32.1271419050878
2006-07-01,33.8043358078765
2006-08-01,35.5259071554688
2006-09-01,36.0363507710816
2006-10-01,33.6341654289448
2006-11-01,34.6012061060101
2006-12-01,36.0204086241789
2007-01-01,37.0592946853481
2007-02-01,35.9189344299204
2007-03-01,47.9394989704876
2007-04-01,48.7101888546834
2007-05-01,45.356115499005
2007-06-01,44.7497550488717
2007-07-01,48.7828690700911
2007-08-01,58.3530463797975
2007-09-01,59.3257334646606
2007-10-01,57.1288012759683
2007-11-01,66.6084191329571
2007-12-01,63.2604138562598
2008-01-01,67.1177096374328
2008-02-01,67.7004848725096
2008-03-01,73.4592683251195
2008-04-01,71.30455862665
2008-05-01,71.5583886333283
2008-06-01,74.5846742579804
2008-07-01,76.9406000794664
2008-08-01,69.091776588937
2008-09-01,80.4015101732346
2008-10-01,89.2909155808319
2008-11-01,83.1115221971733
2008-12-01,84.1795820740516
2009-01-01,79.2025750340181
2009-02-01,90.9778230961223
2009-03-01,88.056628904537
2009-04-01,78.5387117924533
2009-05-01,72.3748378888148
2009-06-01,68.0041417984411
2009-07-01,65.2817879498273
2009-08-01,65.669088136922
2009-09-01,61.2300345690984
2009-10-01,60.1895933133442
2009-11-01,59.3628360985267
2009-12-01,56.9015995111469
2010-01-01,53.8864178209464
2010-02-01,54.5816361768741
2010-03-01,52.516123126091
2010-04-01,52.8247888757412
2010-05-01,52.0696615023669
2010-06-01,53.6316562527466
2010-07-01,49.5715498408617
2010-08-01,49.693378042975
2010-09-01,52.5826275636553
2010-10-01,71.2344099323747
2010-11-01,51.0291792631335
2010-12-01,48.1356025259059
2011-01-01,58.4937721977998
2011-02-01,52.8499589224432
2011-03-01,49.0445167642137
2011-04-01,49.8423779930045
2011-05-01,50.8733559578592
2011-06-01,50.8171319957888
2011-07-01,48.6941191010263
2011-08-01,48.9085977569844
2011-09-01,49.2958312695913
2011-10-01,48.9122573821969
2011-11-01,48.6693101539195
2011-12-01,49.2001795710724
2012-01-01,46.618830267801
2012-02-01,47.5745957536161
2012-03-01,41.7451871279803
2012-04-01,42.1720872061804
2012-05-01,40.7496477612884
2012-06-01,39.3879398499716
2012-07-01,39.3270670067789
2012-08-01,37.4909521776712
2012-09-01,38.757602853251
2012-10-01,36.6699408676235
2012-11-01,34.4619114250262
2012-12-01,35.6193719897804
2013-01-01,34.7837695590517
2013-02-01,32.2241629998082
2013-03-01,34.3472184400934
2013-04-01,35.4962444176983
2013-05-01,32.6518479378428
2013-06-01,30.7545608179409
2013-07-01,29.9298154408996
2013-08-01,28.8585896596687
2013-09-01,28.2598505251244
2013-10-01,27.7519887475501
2013-11-01,28.5184574787687
2013-12-01,26.9954982909424
2014-01-01,26.5859193678585
2014-02-01,25.9220849627665
2014-03-01,26.0411063747071
2014-04-01,26.1754466009507
2014-05-01,25.653863609317
2014-06-01,24.9896323644596
2014-07-01,25.215007468647
2014-08-01,24.9881700148183
2014-09-01,25.0874270878171
2014-10-01,25.4937932334799
2014-11-01,23.7580601190554
2014-12-01,23.2757971891414
2015-01-01,22.9373545120493
2015-02-01,22.2890665461773
2015-03-01,23.302604006802
2015-04-01,22.4856768952241
2015-05-01,22.6418600775807
2015-06-01,22.0942188960262
2015-07-01,22.3921090566353
2015-08-01,22.0990397343687
2015-09-01,21.9493685710459
2015-10-01,21.0612461348603
2015-11-01,21.3812638183448
2015-12-01,22.0069438386196
2016-01-01,21.0968579555992
2016-02-01,20.4535492983967
2016-03-01,19.6123878643087
2016-04-01,19.7050509424132
2016-05-01,20.6396254775545
2016-06-01,20.1552493836674
2016-07-01,19.585786755968
2016-08-01,19.2168757232262
2016-09-01,18.8210964423512
2016-10-01,18.8469609029064
