"time","US"
2004-01-01,92.1616098274749
2004-02-01,88.2839189107458
2004-03-01,89.3138938064927
2004-04-01,92.7806038002911
2004-05-01,93.1812129269908
2004-06-01,101.878793498201
2004-07-01,97.3160385482244
2004-08-01,92.9653401856541
2004-09-01,92.1455654299622
2004-10-01,92.831481781824
2004-11-01,91.7781261427092
2004-12-01,96.2896840805148
2005-01-01,94.7848102131229
2005-02-01,93.4225230204004
2005-03-01,95.6202956376153
2005-04-01,92.7847917785641
2005-05-01,97.4912767183037
2005-06-01,99.6392742788829
2005-07-01,96.1459249393566
2005-08-01,91.6747762002312
2005-09-01,83.2440180712773
2005-10-01,83.1193427884754
2005-11-01,83.1624947432769
2005-12-01,81.1332484298835
2006-01-01,84.3707754621098
2006-02-01,82.4873311391399
2006-03-01,83.9018928726
2006-04-01,84.3747730100014
2006-05-01,91.9163551324873
2006-06-01,92.3415583292309
2006-07-01,99.2741023998578
2006-08-01,99.6514765376434
2006-09-01,102.180562040935
2006-10-01,98.9147057860222
2006-11-01,101.399611725217
2006-12-01,105.494273575071
2007-01-01,107.826257331346
2007-02-01,106.947814924177
2007-03-01,135.104628818702
2007-04-01,138.751971893378
2007-05-01,131.334972946287
2007-06-01,130.202677929479
2007-07-01,142.405936026042
2007-08-01,164.422790614825
2007-09-01,171.027090099186
2007-10-01,164.998283980242
2007-11-01,192.179603437458
2007-12-01,178.710863351577
2008-01-01,193.395606318348
2008-02-01,196.00681481812
2008-03-01,214.971305168965
2008-04-01,210.081973809384
2008-05-01,207.74095949105
2008-06-01,214.78116305539
2008-07-01,221.476470828641
2008-08-01,195.961918981601
2008-09-01,231.180955705768
2008-10-01,257.728216692939
2008-11-01,236.070478032457
2008-12-01,238.957906623437
2009-01-01,229.121028875763
2009-02-01,261.915737819415
2009-03-01,254.686291385528
2009-04-01,225.547553466684
2009-05-01,211.489078692731
2009-06-01,197.097217374275
2009-07-01,187.665354469492
2009-08-01,187.343313272237
2009-09-01,178.712923429988
2009-10-01,176.903625011528
2009-11-01,173.9472730748
2009-12-01,165.465935870383
2010-01-01,158.141141146327
2010-02-01,154.553897036915
2010-03-01,154.834360912593
2010-04-01,151.951932458477
2010-05-01,151.98927653313
2010-06-01,151.487056117347
2010-07-01,145.19690465685
2010-08-01,146.035302673453
2010-09-01,150.008132878987
2010-10-01,203.621756851016
2010-11-01,148.833658299767
2010-12-01,145.882457901693
2011-01-01,172.482546592335
2011-02-01,154.156023465202
2011-03-01,140.345691779313
2011-04-01,142.454353692102
2011-05-01,148.665549061896
2011-06-01,148.529950273155
2011-07-01,142.44835721497
2011-08-01,142.395538718376
2011-09-01,142.855691148171
2011-10-01,138.885900895136
2011-11-01,138.409205778632
2011-12-01,141.723220129675
2012-01-01,134.253522799317
2012-02-01,136.583963061076
2012-03-01,122.706624725772
2012-04-01,120.45266558518
2012-05-01,118.347753168905
2012-06-01,115.109056546716
2012-07-01,114.058605149133
2012-08-01,111.436674737352
2012-09-01,110.923556155263
2012-10-01,107.314031824777
2012-11-01,101.910628433511
2012-12-01,102.715405685941
2013-01-01,102.77055683467
2013-02-01,94.9547410864214
2013-03-01,98.5564079116905
2013-04-01,105.438920226514
2013-05-01,95.1814827005695
2013-06-01,88.3544661868753
2013-07-01,86.389229233172
2013-08-01,84.3985533670457
2013-09-01,84.5323785529251
2013-10-01,82.0194648044945
2013-11-01,82.6449048365836
2013-12-01,77.8938245300065
2014-01-01,79.1819975939154
2014-02-01,76.7548572794458
2014-03-01,76.543004138662
2014-04-01,73.789003277591
2014-05-01,73.7611804936507
2014-06-01,74.1282332699509
2014-07-01,74.09121015859
2014-08-01,70.8114285836476
2014-09-01,71.9824778091608
2014-10-01,72.5064646142935
2014-11-01,69.1055471703284
2014-12-01,69.753208600811
2015-01-01,66.0987181254028
2015-02-01,63.6634132458545
2015-03-01,66.8520157630228
2015-04-01,65.5845326604949
2015-05-01,66.0367550521971
2015-06-01,65.7914476175524
2015-07-01,66.7363555231293
2015-08-01,65.3646362768912
2015-09-01,66.0649351594156
2015-10-01,63.0741161082178
2015-11-01,61.3648480165064
2015-12-01,63.6146754461701
2016-01-01,61.7029017294405
2016-02-01,61.0568958194974
2016-03-01,59.1644933858813
2016-04-01,59.3138720180895
2016-05-01,60.2176101555145
2016-06-01,58.3464965774776
2016-07-01,56.2200300877499
2016-08-01,56.9748944430807
2016-09-01,54.9779467318715
2016-10-01,54.4210140919673
2016-11-01,56.1750580505679
2016-12-01,56.6084853843306
2017-01-01,60.1326638403413
2017-02-01,59.3527495144648
2017-03-01,58.3992260723886
2017-04-01,58.3711914649072
2017-05-01,59.2942805529176
2017-06-01,59.6511365586241
2017-07-01,60.5872018412415
2017-08-01,58.0656920102053
2017-09-01,57.2239262132981
2017-10-01,59.8472539303257
2017-11-01,58.0200880256861
2017-12-01,56.7080553616303
2018-01-01,52.9101160104646
2018-02-01,54.2471396967035
2018-03-01,53.166036601949
2018-04-01,55.6640688568116
2018-05-01,53.6477890759266
