"time","AL","AZ","AR","CA","CO","CT","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","NE","NV","NH","NJ","NM","NY","NC","OH","OK","OR","PA","RI","SC","TN","TX","UT","VA","WA","WV","WI"
2004-07-01,151.634849930861,109.936516094521,Inf,103.232749930408,74.716688719689,78.0631489676944,84.1902511743935,107.58156025692,96.4366515837104,74.6138480985288,141.000928990974,88.5157577556427,143.882540381636,129.815479061719,99.1761819670663,55.8418095659469,77.5310078037091,121.885315922438,92.6783860674623,142.85293222109,118.116555925428,206.570974758606,106.865142352226,198.516775321059,88.4168557146465,116.71176345083,120.475131029665,77.5170131541661,99.2647759547013,98.492532229396,128.073167220245,171.323619767172,69.7250222498794,130.799128277688,191.078091767934,88.6448858147019,82.7854648140411,86.4690128074663,114.453652803148,97.2008338869998,97.4854612552723,Inf,166.352818481223
2004-08-01,131.351308980489,93.9818578675007,Inf,101.578153734575,141.294870664497,86.9001037479906,74.3831743364288,95.703431879692,109.615384615385,56.1186005721344,120.855199103187,62.9000832201229,201.078943003493,88.8933992513974,119.232828145459,65.2174998549254,82.1354563279733,110.410828106162,108.44789791577,131.837250864783,138.358610217761,132.730160850201,91.7972839583429,162.777245133442,87.5446999488632,75.2460080633854,113.843472658379,67.7907641790915,97.0466730816836,77.1722058037218,110.292885499187,113.731730473694,79.5926960306544,101.612193121811,136.17325581981,89.4215437322938,77.7084845294039,82.1665786862353,108.028471990594,108.346462269792,86.4542241751348,Inf,170.771548050075
2004-09-01,51.002318679824,100.859741915069,Inf,90.5571897637025,89.7394520330552,83.8721318762983,76.1371367250381,95.6112108430132,83.8800904977376,23.9276653047992,128.568340822662,76.1906658908988,158.870326543588,173.313076612229,115.227736570078,79.898139864229,46.1232453885505,111.558149911892,77.3231649801775,129.848273910547,111.319204679637,110.079902869653,87.4129917084517,390.705307550169,98.0401006117887,91.7502473405142,129.514323188198,75.1594359455114,102.644931202732,88.8547997461498,136.073813693189,156.421827800844,69.9325379108531,108.857016864875,145.378746445627,84.7326904688775,86.772005301336,85.7989814049492,85.1660602836349,109.204618203663,80.364535357675,Inf,174.871074812039
2004-10-01,94.1767924553673,104.915659592745,Inf,92.9971768551709,149.314938692371,66.1202828108925,82.4001704193992,83.7069609999113,100.622171945701,62.0378372259748,134.491181937389,73.413273088391,225.206074725305,85.4294422771475,104.474601111562,61.6392966925522,75.7885656483969,83.9842771536157,95.1618666418737,160.817320883167,118.775961463814,157.861833202555,84.9457532492209,161.283250549894,103.550613662296,122.387856843967,86.5903420922342,60.0261794326638,94.1598045753817,88.4437239367503,123.22565422355,126.178117876631,67.8196785841979,108.905807155337,154.18040072523,93.9776028831999,72.612321478148,96.8968185727318,104.895935787183,93.0539744263406,85.0701866148417,Inf,156.72167984317
2004-11-01,109.461420638131,95.9687378702123,Inf,94.7272431008264,76.1145501866095,83.1863025674527,70.2960125673554,93.4080710835809,95.3619909502262,70.8885320206693,86.9750704021429,94.1687844039176,73.3838024552735,128.62199747257,119.26942422297,75.2773940966194,87.1024960088134,73.2125595133526,94.1167938617037,154.779604540501,89.8060775288704,169.144191169733,90.7064139479779,119.275893276029,92.5268932265116,107.097906907625,127.165929638597,58.0836002919234,83.8412032439767,82.7203676371087,110.421691011866,177.976947608537,64.5371805319476,99.8545995712776,218.700211296098,101.852778414219,105.776353052533,85.5615737040988,80.0598029370568,93.1690960145011,79.6511561269762,Inf,176.551164469999
2004-12-01,130.329246396395,99.45965740806,Inf,94.9307329527063,124.333275383414,93.124470426885,73.4330839595758,105.664856303951,63.5180995475113,50.6599467748906,131.294987646299,51.2506188412561,155.148452986092,212.54617861474,97.7826601185744,55.7271066509211,121.255597663711,112.471178657142,84.7222258694321,187.391129673289,144.878652172662,178.178460163871,107.65565222231,188.970006074012,101.488815365142,148.203428200317,116.410583728175,74.8677090394619,91.2864510127414,56.5093792152828,135.374600112186,123.311197845055,86.0261241294223,130.847565047174,143.839214648488,118.684405830639,91.8974102415437,89.9250826634587,91.8415743748045,122.203500601734,104.465979546483,Inf,147.487342221403
2005-01-01,116.653566693844,106.614925856738,Inf,91.0483602018115,138.267541717379,93.0623235877267,90.5582880448283,98.5708023561647,110.12443438914,62.9866802975981,126.284090410241,71.6617939350094,158.418874301744,167.116606341066,94.5169863421639,76.2046931120642,19.3022584412031,81.2988240552857,77.4423434983855,162.249632449773,109.215667681385,157.835488516523,94.8315350652159,187.698679186348,63.0676325455733,95.1777875195245,107.132172622189,49.9768043440586,87.8449870118634,89.0764362020567,136.91360931702,69.1305398535819,104.542980924201,101.894519339383,196.34257664271,123.706658014587,82.3808674965133,89.2251883422691,114.678338596186,99.4061260932919,97.1105501585223,Inf,156.20728984755
2005-02-01,146.732299688724,101.636404955016,Inf,88.9383279817235,132.358607880784,98.4816762579215,76.9261672321257,90.6883085621286,165.27149321267,73.2961540695881,127.452731115734,78.7836087334436,142.873924122062,120.309702119248,101.5967009569,90.0870431191849,37.516404493926,105.615647098466,96.1497384634123,134.496278832041,102.13587426331,105.116758622864,106.05046539522,100.527129496446,78.5237376907219,94.6287792340566,118.361867567825,64.9757025426683,90.0062840221544,83.1109305334304,139.019526930811,185.565492294204,102.33059573679,117.385472575131,204.570388058996,124.610528978599,92.7929090980701,82.9252723778968,117.641407563817,96.6843271020587,88.2028700803202,Inf,149.542665709192
2005-03-01,130.570252677961,88.4856777257571,Inf,88.9028037855358,122.909658561469,98.6722840702534,80.4707448199994,97.6639199612631,156.617647058824,56.0421471645485,127.291174274442,76.6841264433192,151.845229231099,79.284180184329,98.1916125328927,66.1955446745753,46.6075783790728,88.1451956726705,92.9539119624299,154.161470979099,91.6494730608239,159.997974933717,101.763201221345,247.561709529665,82.1732129787232,88.3896542587819,113.708202685224,122.034553834187,93.3336185010013,85.668935464497,132.122647753618,164.479636334031,85.4086277440277,127.670698034502,143.749945828073,123.433145903277,96.2258433373093,86.7860314026957,106.30846128844,91.4190671754073,96.0115243400448,Inf,144.205763138514
2005-04-01,135.135302396481,88.4538126503046,Inf,98.9775187204136,110.696361860537,89.2103331693157,79.815210268535,95.9591069332051,94.9095022624434,41.840758479186,131.404080211242,68.7568685145373,172.985382254692,151.448091668028,51.644867168932,78.6114238968886,49.7470707746229,97.865660390165,82.3411078071787,148.457752964495,140.196437695752,174.22043211719,92.9588029915283,115.584611833976,98.0908722767974,130.36863691092,112.507829685398,119.820077137323,85.869561482273,85.1232019811089,127.302358156676,131.293263642881,88.2143879728455,132.333217317683,144.169803852041,144.903788677215,87.8081899494645,86.3773343592794,116.713855748163,88.9869992597308,82.9244250233858,Inf,160.880534595314
