"time","AL","AZ","AR","CA","CO","CT","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","NE","NV","NH","NJ","NM","NY","NC","OH","OK","OR","PA","RI","SC","TN","TX","UT","VA","WA","WV","WI"
2008-03-01,143.729096989967,255.032258064516,202.844551282051,248.75,228.934817170111,230.165649520488,226.63734115347,167.179487179487,283.636363636364,239.78288633461,279.62962962963,227.941176470588,327.181818181818,303.69623655914,276.142857142857,198.809523809524,343.333333333333,239.073359073359,406.25,432.352941176471,483.552631578947,174.66577540107,245.151515151515,360.561497326203,224.6875,434.210526315789,240.22770398482,145.658508158508,213.305613305613,167.502532928065,280.564263322884,236.764705882353,154.986020503262,237.5,338.541666666667,148.75,147.613636363636,149.180911680912,158.288770053476,208.421985815603,179.284750337382,185.11396011396,245.062695924765
2008-04-01,139.297658862876,229.79797979798,205.871212121212,235,261.724960254372,203.299811439346,220.075757575758,179.74358974359,296.503496503497,209.386973180077,250,179.364224137931,269.818181818182,191.039426523297,267.583333333333,154.761904761905,245.216907675195,205.637065637066,322.416666666667,408.823529411765,414.967105263158,170.647058823529,244.588744588745,368.31550802139,204.554079696395,328.947368421053,213.946869070209,141.826923076923,200,162.52380952381,263.839285714286,186.666666666667,172.123552123552,206.25,393.927125506073,147.336956521739,144.793868921776,143.076923076923,132.263814616756,174.905015197568,165.732265446224,162.802197802198,229.310344827586
2008-05-01,142.335562987737,225.415070242656,165.705128205128,218.75,210.055643879173,182.16966966967,204.6875,196.120107962213,314.86013986014,226.906318082789,231.481481481481,194.625,229.636363636364,193.312543312543,251,157.936507936508,235.357142857143,197.297297297297,299.833333333333,338.235294117647,354.769736842105,157.070707070707,228.138528138528,341.969696969697,219.226579520697,324.315789473684,187.80834914611,111.509324009324,189.60498960499,158.770685579196,222.783251231527,186.111111111111,154.092664092664,198.529411764706,434.615384615385,152.5,161.482558139535,124.608262108262,148.809523809524,158.976063829787,165.299877600979,135.916179337232,186.363636363636
2008-06-01,165.440356744705,280.316091954023,198.838141025641,231.25,233.744038155803,192.424242424242,229.667644183773,201.315789473684,299.300699300699,178.758169934641,253.703703703704,233.506944444444,364.454545454545,230.82497212932,300.646551724138,190.079365079365,186.214285714286,226.706349206349,299.833333333333,397.058823529412,412.5,221.388888888889,252.097902097902,362.062937062937,241.698292220114,278.849902534113,204.166666666667,145.046524356869,198.767885532591,176,252.262931034483,207.5,162.509652509653,219.393382352941,344.230769230769,193.75,178.144820295983,143.131313131313,112.272727272727,163.634389926183,196.118421052632,188.253968253968,207.8125
2008-07-01,192.307692307692,275.272727272727,182.954545454545,239.512195121951,250.278219395866,228.753753753754,235.511363636364,231.578947368421,275,205.413105413105,279.62962962963,227.028397565923,334.727272727273,266.951566951567,351.580459770115,223.809523809524,299.333333333333,219.181681681682,348.814814814815,429.411764705882,439.144736842105,221.611111111111,281.934731934732,367.379679144385,214.861111111111,425.717703349282,230.546218487395,168.480861244019,208.108108108108,202.952380952381,273.54525862069,283.725490196078,189.343629343629,231.661184210526,417.307692307692,205.326086956522,185.052447552448,156.925925925926,162.575757575758,174.90230134607,200.458996328029,214.17004048583,246.875
2008-08-01,152.98273155416,248.722860791826,229.816017316017,212.5,204.173290937997,204.016516516517,228.679435483871,194.736842105263,277.333333333333,221.481481481481,220.37037037037,210.386029411765,279.090909090909,202.564102564103,331.547619047619,167.714285714286,230.434782608696,206.869369369369,330.962962962963,400,363.157894736842,147.860962566845,242.365967365967,348.529411764706,216.819852941176,341.189931350114,212.698412698413,143.674957118353,182.432432432432,172.714285714286,256.919642857143,177.948717948718,186.486486486486,219.485294117647,374.493927125506,163.858695652174,150.502114164905,136.372679045093,133.706816059757,143.151595744681,181.842105263158,175.194931773879,235.668103448276
2008-09-01,158.869701726845,244.689655172414,182.517482517483,226.907894736842,225.87440381558,226.084223758642,226.325757575758,203.91363022942,289.454545454545,235.655172413793,272.619047619048,216.819852941176,289.454545454545,270.011947431302,286.206896551724,201.190476190476,226.521739130435,211.111111111111,325.833333333333,435.294117647059,361.184210526316,146.734234234234,259.67365967366,409.954751131222,204.375,371.531100478469,230.098039215686,185.2487135506,215.731115731116,164.777777777778,252.320075757576,213.611111111111,178.069498069498,210.845588235294,415.570175438596,170.555555555556,144.155844155844,135.610079575597,132.236652236652,140.029761904762,210.350877192982,191.374269005848,220.959051724138
2008-10-01,160.61872909699,250.137931034483,209.821428571429,222.5,231.160572337043,218.386568386568,247.727272727273,209.887218045113,314.727272727273,195.657726692209,268.518518518519,213.888888888889,257.545454545455,253.643966547192,304.525862068966,212.301587301587,243.473684210526,217.83033033033,357.083333333333,429.21568627451,436.513157894737,194.444444444444,282.342657342657,369.480519480519,230.977229601518,332.631578947368,237.647058823529,166.883539362394,240.852390852391,185.619047619048,250.757575757576,241.666666666667,205.405405405405,217.023026315789,389.473684210526,196.25,180.909090909091,141.153846153846,161.236802413273,149.512411347518,221.710526315789,174.873896595208,261.961206896552
2008-11-01,159.503901895206,245.151515151515,186.858974358974,198.684210526316,227.389705882353,168.817204301075,207.717803030303,179.217273954116,268.545454545455,220.689655172414,248.148148148148,182.004310344828,266.727272727273,220.833333333333,281.285714285714,155.952380952381,184.332833583208,198.931623931624,311.916666666667,359.122807017544,387.335526315789,130.772727272727,229.575757575758,340.151515151515,211.139112903226,358.458646616541,214.53781512605,111.707152496626,186.486486486486,158.23201621074,218.303571428571,167.352941176471,166.216216216216,192.738970588235,290.977443609023,150.923913043478,144.204545454545,132.122507122507,142.121212121212,131.306990881459,180.460526315789,198.783068783069,201.5625
2008-12-01,168.311036789298,242.911877394636,195.407196969697,185.213414634146,190.063593004769,169.339339339339,226.183712121212,185.018315018315,233.384615384615,168.730769230769,220.37037037037,186.645299145299,235.545454545455,199.327956989247,226.583333333333,182.030548068284,223.333333333333,193.166023166023,261.25,352.941176470588,312.993421052632,158.823529411765,211.902286902287,327.828054298643,189.981617647059,209.157894736842,184.792626728111,112.631578947368,183.068362480127,177.380952380952,199.838362068966,184.166666666667,144.594594594595,185.279605263158,352.631578947368,189.833759590793,146.477272727273,126.461538461538,107.272727272727,133.687943262411,165.197368421053,121.457489878543,185.085227272727
