"time","US"
2004-01-01,100
2004-02-01,94.2857142857143
2004-03-01,97.1825396825397
2004-04-01,97.1428571428571
2004-05-01,92.8921568627451
2004-06-01,108.571428571429
2004-07-01,107.142857142857
2004-08-01,100
2004-09-01,87.1732026143791
2004-10-01,82.8571428571429
2004-11-01,77.1428571428572
2004-12-01,76.8067226890756
2005-01-01,102.857142857143
2005-02-01,100
2005-03-01,104.206349206349
2005-04-01,97.1825396825397
2005-05-01,97.1428571428571
2005-06-01,105.714285714286
2005-07-01,105.634920634921
2005-08-01,98.6486486486486
2005-09-01,78.8888888888889
2005-10-01,74.2857142857143
2005-11-01,70.016339869281
2005-12-01,64.7058823529412
2006-01-01,91.547619047619
2006-02-01,88.5714285714286
2006-03-01,91.547619047619
2006-04-01,88.4033613445378
2006-05-01,91.3025210084034
2006-06-01,97.1008403361345
2006-07-01,108.452380952381
2006-08-01,107.142857142857
2006-09-01,97.1825396825397
2006-10-01,88.7301587301587
2006-11-01,85.7142857142857
2006-12-01,84.3137254901961
2007-01-01,117.142857142857
2007-02-01,115.47619047619
2007-03-01,147.896825396825
2007-04-01,145.714285714286
2007-05-01,130
2007-06-01,135.623123123123
2007-07-01,154.285714285714
2007-08-01,176.071428571429
2007-09-01,162.857142857143
2007-10-01,148.571428571429
2007-11-01,162.857142857143
2007-12-01,143.050193050193
2008-01-01,210
2008-02-01,212.857142857143
2008-03-01,236.138996138996
2008-04-01,221.428571428571
2008-05-01,205.714285714286
2008-06-01,222.857142857143
2008-07-01,238.571428571429
2008-08-01,208.697478991597
2008-09-01,220
2008-10-01,232.857142857143
2008-11-01,200
2008-12-01,191.547619047619
2009-01-01,248.571428571429
2009-02-01,285.714285714286
2009-03-01,280
2009-04-01,238.571428571429
2009-05-01,210
2009-06-01,204.285714285714
2009-07-01,201.428571428571
2009-08-01,198.571428571429
2009-09-01,170
2009-10-01,160
2009-11-01,147.142857142857
2009-12-01,132.857142857143
2010-01-01,171.428571428571
2010-02-01,168.571428571429
2010-03-01,169.420849420849
2010-04-01,161.081081081081
2010-05-01,151.428571428571
2010-06-01,157.142857142857
2010-07-01,155.714285714286
2010-08-01,154.285714285714
2010-09-01,142.857142857143
2010-10-01,184.285714285714
2010-11-01,125.714285714286
2010-12-01,117.394957983193
2011-01-01,187.142857142857
2011-02-01,168.069498069498
2011-03-01,152.857142857143
2011-04-01,151.428571428571
2011-05-01,148.571428571429
2011-06-01,154.169884169884
2011-07-01,152.857142857143
2011-08-01,150.03861003861
2011-09-01,136.138996138996
2011-10-01,125.714285714286
2011-11-01,116.679536679537
2011-12-01,114.285714285714
2012-01-01,145.714285714286
2012-02-01,148.571428571429
2012-03-01,133.281853281853
2012-04-01,128.571428571429
2012-05-01,118.571428571429
2012-06-01,119.459459459459
2012-07-01,122.539682539683
2012-08-01,117.142857142857
2012-09-01,105.714285714286
2012-10-01,97.1428571428571
2012-11-01,85.7142857142857
2012-12-01,82.8571428571429
2013-01-01,111.428571428571
2013-02-01,102.857142857143
2013-03-01,106.911196911197
2013-04-01,113.067226890756
2013-05-01,95.672268907563
2013-06-01,91.7792792792793
2013-07-01,93.0047694753577
2013-08-01,88.5714285714286
2013-09-01,80.5405405405405
2013-10-01,74.2857142857143
2013-11-01,69.4208494208494
2013-12-01,62.8571428571429
2014-01-01,85.7142857142857
2014-02-01,82.8571428571429
2014-03-01,82.8571428571429
2014-04-01,79.1891891891892
2014-05-01,74.2857142857143
2014-06-01,77.1428571428572
2014-07-01,80
2014-08-01,74.2857142857143
2014-09-01,68.5714285714286
2014-10-01,65.7142857142857
2014-11-01,57.9831932773109
2014-12-01,56.3492063492063
2015-01-01,71.4285714285714
2015-02-01,68.5714285714286
2015-03-01,72.2007722007722
2015-04-01,70.429252782194
2015-05-01,66.6409266409266
2015-06-01,68.5714285714286
2015-07-01,72.2007722007722
2015-08-01,68.5714285714286
2015-09-01,62.8571428571429
2015-10-01,57.1428571428571
2015-11-01,51.4285714285714
2015-12-01,51.4285714285714
2016-01-01,66.6409266409266
2016-02-01,65.7679738562092
2016-03-01,63.781512605042
2016-04-01,63.781512605042
2016-05-01,60.8823529411765
2016-06-01,60.8823529411765
2016-07-01,60.8823529411765
2016-08-01,59.7297297297297
2016-09-01,52.1848739495798
2016-10-01,49.2857142857143
2016-11-01,47.0588235294118
2016-12-01,45.7528957528958
2017-01-01,64.8648648648649
2017-02-01,63.9382239382239
2017-03-01,62.8571428571429
2017-04-01,62.8571428571429
2017-05-01,60
2017-06-01,62.3109243697479
2017-07-01,65.7142857142857
2017-08-01,60.8823529411765
2017-09-01,54.2857142857143
2017-10-01,54.2857142857143
2017-11-01,48.6486486486487
2017-12-01,45.8301158301158
2018-01-01,56.9498069498069
2018-02-01,58.3783783783784
2018-03-01,57.1428571428571
2018-04-01,60
2018-05-01,54.2857142857143
