"time","Atlanta","Boston","Charlotte","Chicago","Cleveland","Dallas","Denver","Detroit","Las.Vegas","Los.Angeles","Miami","Minneapolis","New.York","Phoenix","Portland","San.Diego","San.Francisco","Seattle","Tampa","Washington.DC"
2004-01-01,29.7074080677525,27.0079512527124,47.2309308972558,33.2672309978031,36.5322730903039,42.530588682964,23.3680816926628,19.1231376382383,22.090836510441,34.5108522770788,14.8541433242899,18.7454026931758,37.8754199294305,26.2954049629655,23.9206158559552,26.5723809768011,39.6564942844091,40.4380725360234,25.8015595748774,40.7521013471167
2004-02-01,35.12629910866,12.4209659510945,26.8983616590626,36.5753714194573,33.1515232932184,38.071011472598,54.4436739821749,20.8481525136849,25.0467734382179,33.7383827384355,42.6235142179293,20.4652883924722,36.5976082021378,21.815480334749,37.1378806850139,33.2320820888386,36.5552620392169,37.7127967002913,40.3049003566516,39.456924762597
2004-03-01,36.048337973137,31.855441103802,56.3682339052106,29.6332148417741,23.3777028658085,30.5539389794542,51.1837342080187,26.0814419246979,22.4895552297833,34.3534241848289,12.6862681498749,32.7181325581866,43.430544252073,20.7424176234314,26.8002091607522,16.3256639839938,40.6565061508768,33.7719514378057,29.6600689660003,42.7209150069427
2004-04-01,40.8951364298948,27.4467078666782,57.5899983485194,28.9973643615289,26.3545066339155,44.7790626755525,43.1085167478895,24.0709090793988,31.0993229530136,36.4022738910991,31.9024143946988,27.37261834549,33.0139095883626,23.4495689585809,20.4327723295704,31.3368039960652,33.9080773452404,40.4164486767046,48.1400798924571,60.1088093485709
2004-05-01,35.2238859879495,28.1224721056493,9.45839340931569,34.8913871269733,27.1110251653356,35.2615111427373,36.1100552528239,23.1870659078259,32.3331845236707,27.7865442206014,43.5318329353288,24.1013947509418,40.6440382425569,28.7509686090368,40.4930638054844,31.9023267112219,49.3054322619975,38.4392240249397,43.3349828188292,53.674942333587
2004-06-01,39.933862769999,23.0465171716869,31.844704709287,37.7462496366262,46.8914224989433,39.33008860145,32.1168045697991,26.2795254983879,10.8389291390503,31.938366766731,35.9749625745642,22.6166447975717,39.7959330729007,35.4389861836912,38.4389560477682,34.1304693984344,53.4392441499723,37.6507607985957,45.3729101960645,45.4227684015553
2004-07-01,45.7144596986212,24.4222127154034,61.3380666255538,34.8265735768746,34.3991457020717,36.9085988289871,39.9267617580688,22.7649472141465,26.1138847744024,33.7025729820452,36.3185348702198,30.1124755770388,33.7348911444761,34.8943178188912,34.3857013410361,27.3216698026896,43.3077730930192,43.1544410455789,37.7999150399877,40.0495842389989
2004-08-01,34.8472876166362,18.5166898855495,57.3635641450026,29.7398150762186,27.9776478022206,35.6746892735717,39.6266430969154,21.6570520222321,13.4767421456823,32.8121815928901,42.5193374847605,20.6889626194992,36.8563906916297,30.3614301402482,32.8854252713104,32.8463984221712,42.2225652829233,39.4753219536851,32.6293024370049,50.0502245455722
2004-09-01,31.9148803043091,18.9619353686407,64.2979600330624,28.0544679507197,47.803661563399,53.2074264797897,27.9804539633125,22.0727856286476,12.3932836280316,33.1672800454806,21.9500991964251,27.8804083906754,36.4764149407175,25.1536216443153,45.597237077537,27.0540650730344,38.2138742785892,36.6154057887099,36.8629518654881,48.5579624311054
2004-10-01,32.9814004355615,18.7824951978971,60.2015978039147,26.8244260387819,31.2336703074484,47.8423971597033,39.1802860782795,23.4441802219148,11.3719538033598,34.5025896354448,19.1427598542635,22.6419268703471,36.3216315777152,29.5142500087536,28.7927346753744,26.7514829391764,43.8828925662062,35.9778055252988,32.0897508363764,44.3400564950396
2004-11-01,36.5060093156549,21.0376612401276,53.4024489171836,25.4313953065729,29.9099172291734,33.7578334253182,29.9343624266622,25.5888807099071,31.1051909504025,35.028204444829,37.6696854494013,13.6895832273969,34.7541562632411,26.8421974114454,32.9337832742925,18.4564817379703,37.7897074484367,35.5544655863205,33.2186601537077,40.9315297007748
2004-12-01,35.5814984005532,23.3534396536567,47.9268576636083,39.6634008913479,37.9227026535559,36.3817911868864,33.5269733144707,27.1076038612918,13.6451937334189,31.9895795006015,35.4163847566451,31.2252962268225,38.8225799123767,26.8144235242604,32.3522041778513,17.2847553867496,46.1475233501783,41.100793011734,30.4904222246395,54.7561349211537
2005-01-01,35.2001829008819,22.184743244832,55.6620747283309,28.4428037929203,42.0877664320895,54.454775736859,61.5733150797386,26.7421421647201,13.4125766496603,29.7277343853945,37.1354603381886,25.3059177178478,32.0467856233637,37.8732843181615,45.566865417792,25.3346351414385,47.3745007949862,37.7008528825066,45.3394080565373,41.6376279822991
2005-02-01,33.1864949917307,24.0058378914374,58.0685605221992,25.3051219633482,37.0776454917716,38.0683704352357,61.9760897646083,23.028186442638,17.2742803820038,27.3068122182569,29.7374060655602,26.9767435946778,34.7191347814329,15.0099337151964,31.5994983407154,41.0118074958558,42.7102979580874,41.5359971766539,41.5815675318202,45.7337480365611
2005-03-01,31.1876848657603,21.8925941956457,40.5081685023397,29.2132592242207,41.9856433397725,41.0415405086988,46.7231680498565,21.9492631993262,26.7492296209483,31.6188447835798,23.4205848014582,28.413913349545,35.4617407006465,32.1847671363074,35.1770112225515,20.2239381621493,35.8708076506022,38.6468728613544,42.6771961493098,44.5782210432588
2005-04-01,32.41991612979,20.8509910475452,39.527268271678,30.6319477975221,37.2026405063386,41.054040448555,32.9954280861868,23.0368522238868,21.2669005488035,30.4402136508469,32.8134521989843,28.3168356312869,32.0066819476693,21.6579212619433,30.9927094406749,23.9796192648227,46.7704585685524,34.0377940055912,40.0428340791524,35.3026300893426
