geo,geo.type,geo.description,date,mdri.log.diff,mdri.cum
US,Country,US,2006-01-02,0.0118344576470033,0.0118344576470033
US,Country,US,2006-01-03,-0.085942429800725,-0.0741079721537217
US,Country,US,2006-01-04,-0.182321556793955,-0.256429528947677
US,Country,US,2006-01-05,0.143100843640673,-0.113328685307004
US,Country,US,2006-01-06,-0.385662480811984,-0.498991166118988
US,Country,US,2006-01-07,0.385662480811984,-0.113328685307004
US,Country,US,2006-01-08,0.0645385211375711,-0.0487901641694326
US,Country,US,2006-01-09,-0.207639364778244,-0.256429528947677
US,Country,US,2006-01-10,0.0303053494953289,-0.226124179452348
US,Country,US,2006-01-11,-0.144249608844547,-0.370373788296895
US,Country,US,2006-01-12,0.173663494050841,-0.196710294246054
US,Country,US,2006-01-13,0,-0.196710294246054
US,Country,US,2006-01-14,0.243230309880947,0.0465200156348933
US,Country,US,2006-01-15,-0.0465200156348935,-2.09901540593194e-16
US,Country,US,2006-01-16,-0.0741079721537217,-0.0741079721537219
US,Country,US,2006-01-17,-0.0392207131532816,-0.113328685307004
US,Country,US,2006-01-18,0.101352494260288,-0.0119761910467155
US,Country,US,2006-01-19,-0.0621317811070066,-0.0741079721537221
US,Country,US,2006-01-20,-0.0259754864032606,-0.100083458556983
US,Country,US,2006-01-21,0.0130720815673531,-0.0870113769896296
US,Country,US,2006-01-22,0.0256424306133374,-0.0613689463762922
US,Country,US,2006-01-23,0.0964602661875622,0.03509131981127
US,Country,US,2006-01-24,-0.023256862164267,0.011834457647003
US,Country,US,2006-01-25,0.0682082500265331,0.0800427076735361
US,Country,US,2006-01-26,-0.0800427076735364,-3.08780778723872e-16
US,Country,US,2006-01-27,-0.226124179452348,-0.226124179452348
US,Country,US,2006-01-28,0.112795494145344,-0.113328685307004
US,Country,US,2006-01-29,0.0892311337279432,-0.0240975515790611
US,Country,US,2006-01-30,-0.0500104205746617,-0.0741079721537228
US,Country,US,2006-01-31,0.0377403279828474,-0.0363676441708754
US,Country,US,2006-02-02,-0.384540540700566,-0.420908184871441
US,Country,US,2006-02-03,0.201665317789766,-0.219242867081675
US,Country,US,2006-02-04,0.13473680769309,-0.0845060593885849
US,Country,US,2006-02-05,-0.16726993443508,-0.251775993823665
US,Country,US,2006-02-06,-0.0664762048441725,-0.318252198667837
US,Country,US,2006-02-07,0.0188380065485724,-0.299414192119265
US,Country,US,2006-02-08,0.0733186281318666,-0.226095563987398
US,Country,US,2006-02-09,-0.209965295631708,-0.436060859619106
US,Country,US,2006-02-10,-0.259294343122977,-0.695355202742082
US,Country,US,2006-02-11,0.259294343122977,-0.436060859619106
US,Country,US,2006-02-12,0.208679947880158,-0.227380911738948
US,Country,US,2006-02-13,-0.0188516018174195,-0.246232513556368
US,Country,US,2006-02-14,-0.324674665477402,-0.570907179033769
US,Country,US,2006-02-15,0.285779673136533,-0.285127505897236
US,Country,US,2006-02-16,-0.199358266716827,-0.484485772614064
US,Country,US,2006-02-17,0.213774641762694,-0.27071113085137
US,Country,US,2006-02-18,-0.0653141711925384,-0.336025302043908
US,Country,US,2006-02-19,-0.054661163622757,-0.390686465666665
US,Country,US,2006-02-20,0.390933440233307,0.000246974566641241
US,Country,US,2006-02-21,-0.170240129009376,-0.169993154442735
US,Country,US,2006-02-22,-0.202517454029255,-0.37251060847199
US,Country,US,2006-02-23,0.0471660923081744,-0.325344516163815
US,Country,US,2006-02-24,-0.0798225995724501,-0.405167115736265
US,Country,US,2006-02-25,-0.0182348398906955,-0.423401955626961
US,Country,US,2006-02-26,0.336472236621213,-0.0869297190057479
US,Country,US,2006-02-27,-0.145300891277558,-0.232230610283306
US,Country,US,2006-02-28,-0.128589773866652,-0.360820384149957
US,Country,US,2006-03-02,-0.176849477682401,-0.537669861832359
US,Country,US,2006-03-03,0.103359461666476,-0.434310400165883
US,Country,US,2006-03-04,0.0906607716953688,-0.343649628470514
US,Country,US,2006-03-05,0.083954300007843,-0.259695328462671
US,Country,US,2006-03-06,-0.144637447561121,-0.404332776023792
US,Country,US,2006-03-07,0.0444933617793929,-0.359839414244399
US,Country,US,2006-03-08,-0.107797627609318,-0.467637041853717
US,Country,US,2006-03-09,0.0692177625346741,-0.398419279319043
US,Country,US,2006-03-10,-0.0526184466343848,-0.451037725953428
US,Country,US,2006-03-11,0.136281715185004,-0.314756010768424
US,Country,US,2006-03-12,-0.10728306502322,-0.422039075791643
US,Country,US,2006-03-13,0.132220763874348,-0.289818311917295
US,Country,US,2006-03-14,-0.045693704486215,-0.33551201640351
US,Country,US,2006-03-15,0.0102903876148628,-0.325221628788647
US,Country,US,2006-03-16,-0.130601611756425,-0.455823240545073
US,Country,US,2006-03-17,0.0966606454841346,-0.359162595060938
US,Country,US,2006-03-18,-0.122034549452071,-0.48119714451301
US,Country,US,2006-03-19,0.317529295912417,-0.163667848600593
US,Country,US,2006-03-20,-0.153305861802832,-0.316973710403425
US,Country,US,2006-03-21,-0.000571716921836734,-0.317545427325262
US,Country,US,2006-03-22,-0.066637677440818,-0.38418310476608
US,Country,US,2006-03-23,-0.0717208876610652,-0.455903992427145
US,Country,US,2006-03-24,-0.100608356677885,-0.55651234910503
US,Country,US,2006-03-25,0.172756321057633,-0.383756028047397
US,Country,US,2006-03-26,0.0552143849745313,-0.328541643072865
US,Country,US,2006-03-27,0.0982764742111182,-0.230265168861747
US,Country,US,2006-03-28,-0.175196693876899,-0.405461862738647
US,Country,US,2006-03-29,0.0835590748909335,-0.321902787847713
US,Country,US,2006-03-30,0.0299827455543132,-0.2919200422934
US,Country,US,2006-03-31,-0.303030919117277,-0.594950961410676
US,Country,US,2006-04-02,-0.00967052212716333,-0.60462148353784
US,Country,US,2006-04-03,0.0279876536691112,-0.576633829868729
US,Country,US,2006-04-04,0.023702812348378,-0.552931017520351
US,Country,US,2006-04-05,0.0635365925513521,-0.489394424968999
US,Country,US,2006-04-06,0.0321306152250222,-0.457263809743976
